runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
EM50            	QUTqrmTTgBL     	all 	      0.2123	      0.3570	    0.4861
EM50            	SCIAI124aTTG    	all 	      0.0633	      0.0911	    0.5849
EM50            	SCIAI14aTTG     	all 	      0.0637	      0.0926	    0.5880
EM50            	SCIAI3am14aTTG  	all 	      0.0543	      0.0752	    0.5225
EM50            	SCIAI3cm4aTTG   	all 	      0.0394	      0.0795	    0.5381
EM50            	SM100           	all 	      0.1604	      0.2705	    0.4651
EM50            	SM50            	all 	      0.1667	      0.3075	    0.4815
EM50            	SR              	all 	      0.0427	      0.1153	    0.6130
EM50            	SRTD            	all 	      0.0451	      0.1262	    0.6645
EM50            	SRTL            	all 	      0.0518	      0.1343	    0.6715
EM50            	Standard        	all 	      0.0437	      0.1157	    0.5585
EM50            	TTGPKUICST1     	all 	      0.2193	      0.3350	    0.4741
EM50            	TTGPKUICST2     	all 	      0.1814	      0.2916	    0.5645
EM50            	TTGPKUICST3     	all 	      0.2009	      0.3124	    0.5134
EM50            	TTGPKUICST4     	all 	      0.2032	      0.3024	    0.5392
EM50            	udelRunTTG1     	all 	      0.0913	      0.2080	    0.5496
EM50            	udelRunTTG2     	all 	      0.0792	      0.1798	    0.5542
EM50            	udelRunTTG3     	all 	      0.0925	      0.2028	    0.5562
EM50            	udelRunTTG4     	all 	      0.0793	      0.1943	    0.5142
EM50            	UDInfoMMR5      	all 	      0.0476	      0.1189	    0.6455
EM50            	UDInfoMMRA      	all 	      0.0448	      0.1133	    0.6258
EM50            	UDInfoMMRWC5    	all 	      0.0496	      0.1131	    0.6158
EM50            	UDInfoMMRWCA    	all 	      0.0502	      0.1233	    0.6321
EM50            	wistudt2bcd     	all 	      0.0286	      0.1214	    0.4985
EM50            	wistudt2bd      	all 	      0.0591	      0.1446	    0.6295
EM50            	wistudt2qcd     	all 	      0.0234	      0.0713	    0.3239
EM50            	wistudt2qd      	all 	      0.0418	      0.0937	    0.3945
hltcoeTTG0      	hltcoeTTG1      	all 	      0.3736	      0.5670	    0.3678
hltcoeTTG0      	hltcoeTTG2      	all 	      0.3773	      0.5821	    0.3453
hltcoeTTG0      	hltcoeTTG3      	all 	      0.3953	      0.5926	    0.3446
hltcoeTTG0      	ICTNETAP3       	all 	      0.1709	      0.3763	    0.3219
hltcoeTTG0      	ICTNETAP4       	all 	      0.1849	      0.4053	    0.3144
hltcoeTTG0      	ICTNETRunSP3    	all 	      0.1752	      0.2658	    0.4806
hltcoeTTG0      	ICTNETRUNSP4    	all 	      0.1990	      0.3505	    0.5278
