runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
hltcoeTTG0      	udelRunTTG2     	all 	      0.5071	      0.6937	    0.3604
hltcoeTTG0      	udelRunTTG3     	all 	      0.4988	      0.6846	    0.3536
hltcoeTTG0      	udelRunTTG4     	all 	      0.4991	      0.6844	    0.3539
hltcoeTTG0      	UDInfoMMR5      	all 	      0.4509	      0.6446	    0.4322
hltcoeTTG0      	UDInfoMMRA      	all 	      0.4485	      0.6412	    0.4312
hltcoeTTG0      	UDInfoMMRWC5    	all 	      0.4514	      0.6462	    0.4373
hltcoeTTG0      	UDInfoMMRWCA    	all 	      0.4497	      0.6417	    0.4358
hltcoeTTG0      	wistudt2bcd     	all 	      0.4506	      0.6505	    0.3801
hltcoeTTG0      	wistudt2bd      	all 	      0.4616	      0.6637	    0.3674
hltcoeTTG0      	wistudt2qcd     	all 	      0.4470	      0.6425	    0.3693
hltcoeTTG0      	wistudt2qd      	all 	      0.4518	      0.6471	    0.3360
hltcoeTTG1      	hltcoeTTG2      	all 	      0.5118	      0.6875	    0.3749
hltcoeTTG1      	hltcoeTTG3      	all 	      0.5115	      0.6813	    0.3894
hltcoeTTG1      	ICTNETAP3       	all 	      0.4628	      0.6617	    0.3176
hltcoeTTG1      	ICTNETAP4       	all 	      0.4825	      0.6742	    0.3119
hltcoeTTG1      	ICTNETRunSP3    	all 	      0.5196	      0.6785	    0.1444
hltcoeTTG1      	ICTNETRUNSP4    	all 	      0.5420	      0.6942	    0.1333
hltcoeTTG1      	JufeLdkeSum1    	all 	      0.7404	      0.8336	    0.0689
hltcoeTTG1      	JufeLdkeSum2    	all 	      0.5902	      0.7443	    0.1102
hltcoeTTG1      	JufeLdkeSum3    	all 	      0.5363	      0.6916	    0.0627
hltcoeTTG1      	PrisTTG2014a    	all 	      0.5379	      0.7029	    0.3530
hltcoeTTG1      	PrisTTG2014b    	all 	      0.5448	      0.7081	    0.3555
hltcoeTTG1      	PrisTTG2014c    	all 	      0.5227	      0.7002	    0.3377
hltcoeTTG1      	PrisTTG2014e    	all 	      0.5321	      0.7134	    0.3444
hltcoeTTG1      	QUQEd10t15TTgCL 	all 	      0.4846	      0.6717	    0.4014
hltcoeTTG1      	QUQEd5t25TTgBL  	all 	      0.5137	      0.6870	    0.3958
hltcoeTTG1      	QUTmpDecayTTgCL 	all 	      0.5088	      0.6857	    0.3910
hltcoeTTG1      	QUTqrmTTgBL     	all 	      0.5228	      0.7048	    0.3946
hltcoeTTG1      	SCIAI124aTTG    	all 	      0.4184	      0.6119	    0.4406
hltcoeTTG1      	SCIAI14aTTG     	all 	      0.4180	      0.6117	    0.4404
hltcoeTTG1      	SCIAI3am14aTTG  	all 	      0.4161	      0.6084	    0.4368
hltcoeTTG1      	SCIAI3cm4aTTG   	all 	      0.4130	      0.6085	    0.4403
hltcoeTTG1      	SM100           	all 	      0.4480	      0.6349	    0.4079
hltcoeTTG1      	SM50            	all 	      0.4329	      0.6193	    0.4372
hltcoeTTG1      	SR              	all 	      0.4223	      0.6191	    0.4497
hltcoeTTG1      	SRTD            	all 	      0.4257	      0.6287	    0.4476
hltcoeTTG1      	SRTL            	all 	      0.4260	      0.6290	    0.4441
